Threshold,Accuracy,Precision,Recall,Specificity,F1 Score,TP,FP,TN,FN,Note
0.1,0.8463744367062679,0.5052473763118441,0.8821989528795812,0.8397280233122875,0.6425166825548141,337,330,1729,45,
0.15,0.8680868496517821,0.5515463917525774,0.8403141361256544,0.8732394366197183,0.6659751037344398,321,261,1798,61,
0.2,0.8807865628840639,0.5850467289719626,0.819371727748691,0.8921806702282662,0.6826608505997819,313,222,1837,69,
0.25,0.8848832445718967,0.6016096579476862,0.7827225130890052,0.9038368139873725,0.6803185437997725,299,198,1861,83,
0.3,0.8906185989348627,0.6210526315789474,0.7722513089005235,0.9125789218067023,0.6884480746791132,295,180,1879,87,
0.35,0.8926669397787792,0.6339285714285714,0.743455497382199,0.9203496843127732,0.6843373493975904,284,164,1895,98,
0.4,0.8951249487914789,0.6492890995260664,0.7172774869109948,0.9281204468188441,0.681592039800995,274,148,1911,108,
0.45,0.8963539532978287,0.6675324675324675,0.6727748691099477,0.9378338999514327,0.6701434159061278,257,128,1931,125,
0.5,0.8943056124539124,0.6781609195402298,0.6178010471204188,0.9456046624575036,0.6465753424657534,236,112,1947,146,<- [DEFAULT: 0.50]
0.55,0.8951249487914789,0.7019230769230769,0.5732984293193717,0.9548324429334628,0.6311239193083573,219,93,1966,163,
0.6,0.8926669397787792,0.7158273381294964,0.5209424083769634,0.9616318601262749,0.603030303030303,199,79,1980,183,
0.65,0.8938959442851291,0.7489878542510121,0.48429319371727747,0.9698882952889752,0.5882352941176471,185,62,1997,197,
0.7,0.8885702580909464,0.7894736842105263,0.39267015706806285,0.9805730937348227,0.5244755244755245,150,40,2019,232,
0.75,0.8799672265464973,0.8156028368794326,0.3010471204188482,0.9873725109276348,0.4397705544933078,115,26,2033,267,
0.8,0.8705448586644817,0.8235294117647058,0.2198952879581152,0.9912578921806702,0.34710743801652894,84,18,2041,298,
0.85,0.85661614092585,0.9210526315789473,0.09162303664921466,0.9985429820301117,0.16666666666666666,35,3,2056,347,
0.9,0.8455551003687014,1.0,0.013089005235602094,1.0,0.025839793281653745,5,0,2059,377,
