Threshold,Precision,Recall,F1
0.1000,0.6410,0.8083,0.7150
0.1100,0.6410,0.8083,0.7150
0.1200,0.6410,0.8083,0.7150
0.1300,0.6410,0.8083,0.7150
0.1400,0.6410,0.8083,0.7150
0.1500,0.6410,0.8083,0.7150
0.1600,0.6410,0.8083,0.7150
0.1700,0.6410,0.8083,0.7150
0.1800,0.6410,0.8083,0.7150
0.1900,0.6410,0.8083,0.7150
0.2000,0.6410,0.8083,0.7150
0.2100,0.6410,0.8083,0.7150
0.2200,0.6410,0.8083,0.7150
0.2300,0.6410,0.8083,0.7150
0.2400,0.6407,0.8074,0.7145
0.2500,0.6407,0.8074,0.7145
0.2600,0.6407,0.8074,0.7145
0.2700,0.6407,0.8074,0.7145
0.2800,0.6412,0.8074,0.7148
0.2900,0.6412,0.8074,0.7148
0.3000,0.6412,0.8074,0.7148
0.3100,0.6416,0.8074,0.7150
0.3200,0.6423,0.8065,0.7151
0.3300,0.6423,0.8065,0.7151
0.3400,0.6428,0.8065,0.7154
0.3500,0.6425,0.8056,0.7149
0.3600,0.6425,0.8056,0.7149
0.3700,0.6425,0.8056,0.7149
0.3800,0.6420,0.8037,0.7138
0.3900,0.6430,0.8037,0.7144
0.4000,0.6439,0.8037,0.7150
0.4100,0.6439,0.8037,0.7150
0.4200,0.6444,0.8037,0.7153
0.4300,0.6449,0.8037,0.7156
0.4400,0.6448,0.8019,0.7148
0.4500,0.6446,0.8009,0.7143
0.4600,0.6445,0.7991,0.7135
0.4700,0.6450,0.7991,0.7138
0.4800,0.6452,0.7981,0.7136
0.4900,0.6447,0.7963,0.7125
0.5000,0.6452,0.7963,0.7128
0.5100,0.6464,0.7954,0.7132
0.5200,0.6460,0.7926,0.7119
0.5300,0.6470,0.7926,0.7124
0.5400,0.6464,0.7889,0.7106
0.5500,0.6491,0.7880,0.7118
0.5600,0.6501,0.7861,0.7117
0.5700,0.6520,0.7824,0.7113
0.5800,0.6565,0.7787,0.7124
0.5900,0.6609,0.7759,0.7138
0.6000,0.6677,0.7648,0.7130
0.6100,0.6772,0.7556,0.7142
0.6200,0.6885,0.7389,0.7128
0.6300,0.7020,0.7111,0.7065
0.6400,0.7231,0.6722,0.6967
0.6500,0.7591,0.6009,0.6708
0.6600,0.8152,0.4861,0.6090
0.6700,0.8810,0.3222,0.4719
0.6800,0.9225,0.1213,0.2144
0.6900,1.0000,0.0093,0.0183
0.7000,0.0000,0.0000,0.0000
0.7100,0.0000,0.0000,0.0000
0.7200,0.0000,0.0000,0.0000
0.7300,0.0000,0.0000,0.0000
0.7400,0.0000,0.0000,0.0000
0.7500,0.0000,0.0000,0.0000
0.7600,0.0000,0.0000,0.0000
0.7700,0.0000,0.0000,0.0000
0.7800,0.0000,0.0000,0.0000
0.7900,0.0000,0.0000,0.0000
0.8000,0.0000,0.0000,0.0000
